Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:09,2019-03-06 11:01:09,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:09,2019-03-06 11:01:12,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/5.Eliminar,Chrome 72.0.3626.119,,2019-03-06 11:01:12,2019-03-06 11:01:23,"11,181s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:01:12,2019-03-06 11:01:14,"1,861s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:14,2019-03-06 11:01:16,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:16,2019-03-06 11:01:16,"0,032s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:16,2019-03-06 11:01:18,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:18,2019-03-06 11:01:18,"0,025s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:18,2019-03-06 11:01:20,"2,003s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:20,"0,016s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:20,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:23,"3,002s",PASSED
